"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User us able to login with username and password and redirected to the dashboard page after that","5512","Test successful login","tests","2026-07-07","failed","2026-07-07","","test_login","",""
"User us able to login with username and password and redirected to the dashboard page after that","309","Test successful login","tests","2026-07-07","passed","2026-07-07","","test_login","",""
"","938","test_login_failure[chromium]","tests","2026-07-07","passed","2026-07-07","","test_login","",""
